Name,,V,T,M,n,np,B,G,E,v,H,B',G',ρ,vL,vS,va,Θe,γel,γes,γe,A,κ,κref.,Formula,space group,k_BTE_DFT,k_BTE_DFT（1000 K）,k_AFLOW_AAPL,k_AFLOW_AGL,k_AFLOW_AGL (Poisson ratio σ=0.25),k_Mingo,k_EXP,k_EXP（1000 K）
504715_BaTiO3, Pm-3m ,5.08559307097728,300,466.414,10,10,165.855,108.584,267.3976099606,0.2312937908,18.9110922287,-5.07541,-2.60161,5.888372908,7.2631766782,4.2942296387,4.7571472988,278.4934112525,1.6422513864,1.4090247948,1.4908265449,3.14E-06,24.1394393551,4.99,BaTiO3,Pm-3m,4.99,2.51,,,,,4~5,
2726938_YAsPd,,6.41927781138253,300,1080.99,12,3,85.4515,17.2779,48.5607780608,0.4052858872,1.6319790733,-1.14211,-0.3015,6.7789842053,4.0004600852,1.5964788412,1.8085539433,133.150221086,1.715778128,2.1412752707,2.009478718,6.43E-06,4.5655746449,5.48,49 PdAsY,F-43m,5.48,,,9.43,,4.31,,
3834_BaZrO3, Pm-3m ,4.25044977938759,300,276.551,5,5,158.713,94.6593,236.8839453938,0.2512449669,15.6487604042,-7.35421,-3.16463,5.9802468884,6.9024938194,3.9785249634,4.4175615968,309.4266085138,1.3929445558,1.1169469756,1.2159270302,1.93E-06,30.2465067029,5.61,BaZrO3,Pm-3m,5.61,2.13,,,,,5.2,2.9
556891_KFeF3, Pm-3m ,4.01783700871745,300,151.939,5,5,88.785,45.4345,116.4411205076,0.2814174307,8.5150001791,-5.56483,-2.14317,3.8899217718,6.1965936642,3.4176095357,3.8085408314,282.2124921008,1.6620035493,1.3630740172,1.4694894069,3.03E-06,12.8553912147,6.37,KFeF3,Pm-3m,6.37,1.72,,,,,3,
5229_SrTiO3, Pm-3m ,3.94893417806741,300,183.5,5,5,181.364,110.234,274.9887862992,0.2472956905,17.4899692144,-9.9204,-5.00836,4.9481736491,8.1459397659,4.7199273861,5.2383601359,394.9347880356,1.3898139264,1.2322429656,1.2869120926,2.21E-06,39.6588971248,6.44,SrTiO3,Pm-3m,6.44,2.36,,,,,10.5,4
2695221_YNaGe,,6.91314444623738,300,738.024,12,3,36.1426,0.40658,1.2151833343,0.4943963479,0.0061972435,-0.33904,-0.00692,3.7054849244,3.1464439522,0.3312458763,0.3791081637,25.9169625759,1.4016138848,2.6449556463,2.3062308517,8.95E-06,0.0261569259,8.06,55 GeNaY,F-43m,8.06,,,4.28,,8.17,,
3448_KMgF3, Pm-3m ,4.05344927915486,300,120.397,5,5,69.1705,46.8995,114.7613773884,0.2234818856,12.0565413059,-3.85951,-2.11819,3.0018568938,6.6237375525,3.9526568628,4.3749034133,321.331764529,1.5232647498,1.3373094312,1.4020376276,2.71E-06,14.8879151258,8.25,KMgF3,Pm-3m,8.25,2.74,,,,,10,
1017439_SrSiO3, Pm-3m ,3.69578287487207,300,163.705,5,5,202.534,145.306,351.7888621664,0.2105104475,24.959451197,-13.873,-9.99847,5.3850674339,8.5783339077,5.1945293061,5.7412004473,462.4940968035,1.5660588047,1.5700915044,1.568748423,3.55E-06,57.562072118,10.1,SrSiO3,Pm-3m,10.1,3.23,,,,,,
1764992_SrSiCd,,6.9704193919975,300,912.464,12,3,38.9743,16.1689,42.6137751043,0.3177697649,3.6395994488,-0.38637,-0.27348,4.4693099141,3.6802325799,1.9020415599,2.1293865927,144.3750681992,1.9342143156,2.697457411,2.4693952017,1.05E-05,5.793137051,13.5,43 SiCdSr,F-43m,13.5,,,3.79,,3.55,,
2713294_NbRhSi,,5.90029683463002,300,895.604,12,3,188.739,77.44,204.3689937964,0.3195312099,8.9826824029,-3.14478,-0.73006,7.2326242245,6.353861932,3.2721614312,3.6641114394,293.4887166686,1.28186125,0.8015772938,0.9879643348,1.17E-06,28.0280149364,15.3,111 RhNbSi,F-43m,15.3,,,26.15,,27.39,,
961671_PtGeTi, F-43m ,3.76829577722739,300,315.57,3,3,151.795,62.4786,164.8222655213,0.31902976,7.951831575,-10.9997,-1.89482,9.792854615,4.8997224126,2.5258699793,2.8282422905,223.4506183861,1.3726435283,0.6447457065,0.9514102354,1.07E-06,17.4104882237,16.9,PtGeTi,F-43m,16.9,,,14.41,,26.74,,
623646_NiSnTi, F-43m ,3.74396064925646,300,225.28,3,3,135.309,67.2683,173.116803236,0.2867636259,10.3558349194,-8.97841,-2.948,7.1281586845,5.6182704825,3.0719670035,3.4256257449,272.4071929325,1.338818095,0.9832883642,1.1144723573,1.56E-06,23.8350164905,17.9,NiSnTi,F-43m,17.9,,,10.7,,16.82,9.3,
2687616_HfCoBi,,6.18515351626917,300,1785.61,12,3,138.726,64.1214,166.6830065322,0.2997455337,9.2468870469,-1.47146,-0.8539,12.5180481894,4.2322374586,2.2632534364,2.5279222516,193.1567216494,1.2104926352,1.4088589613,1.3459890497,2.46E-06,18.8979224726,18.6,89 CoBiHf,F-43m,18.6,,,10.43,,22.47,,
3432_NiSbSc, F-43m ,3.84624922840379,300,225.396,3,3,98.1737,66.9429,163.6353541032,0.2222009661,14.9453846198,-4.32888,-3.04368,6.5778275932,5.3380096201,3.1901493686,3.5304351212,273.275530039,1.1064081785,1.1268640289,1.1200869217,1.58E-06,24.7836148431,19.5,NiSbSc,F-43m,19.5,,,9.13,,16.35,,
1932053_NiSnZr,,6.1493973454894,300,1074.5,12,3,123.603,72.6821,182.3115062663,0.2541706023,13.1874630642,-2.07813,-0.78328,7.6649656219,5.3636628118,3.0793469794,3.4203341726,262.8648882303,1.4797412125,1.086351141,1.2315236713,1.99E-06,27.5007793102,19.6,116 NiSnZr,F-43m,19.6,,,10.22,,17.49,8.8/17.2,
2686346_AsCoZr,,5.83651164665448,300,900.316,12,3,155.719,82.1092,209.5043580566,0.2757666501,12.4665981897,-2.91538,-1.17245,7.5116675452,5.9417843893,3.3061894151,3.6818233121,298.1303452858,1.5121634039,1.2528241395,1.3448388762,2.45E-06,33.0495736636,24,4 CoAsZr,F-43m,24,,,17.51,,27.72,,
21043_RbPbF3, Pm-3m ,4.83629888030719,300,349.662,5,5,49.6481,19.4144,51.5268450859,0.327026462,3.7799102505,-1.50273,-0.25498,5.1328383725,3.8361214794,1.9448369278,2.1799311714,134.1960034012,1.2131536332,0.5761669414,0.8437374051,8.01E-07,0.9200562488,0.32,RbPbF3,Pm-3m,,0.32,,,,,,
7483_KHgF3, Pm-3m ,7.30070675586734,300,1186.728,20,20,55.5039,15.5995,42.7897778525,0.3715111976,2.2598558692,-0.55225,-0.03342,5.0641320713,3.8816731097,1.7551038848,1.9790603165,80.705672076,1.3551343446,0.2501647895,0.8086107295,7.24E-07,0.2520085516,0.37,KHgF3,Pm-3m,,0.37,,,,,,
